Subject_Name,Grade_1_Score,Grade_2_Score,Grade_3_Score,Grade_4_Score,Grade_5_Score,Grade_6_Score,Grade_7_Score,Grade_8_Score,Grade_9_Score
Korean,100,90,80,70,60,50,40,30,20
Language_and_Media,88,81,73,63,51,39,28,20,20
Speech_and_Writing,90,84,76,66,54,42,31,24,20
Math,100,90,80,70,60,50,40,30,20
Probability_and_Statistics,91,82,72,59,40,24,18,14,20
Calculus,84,76,66,52,34,17,12,8,0
Geometry,86,78,68,54,36,19,14,10,0
English,0,0,0,0,0,0,0,0,0
Korean_History,0,0,0,0,0,0,0,0,0
Life_and_Ethics,50,47,44,38,29,22,15,10,0
Ethics_and_Ideology,44,41,35,25,16,11,9,7,0
Korean_Geography,42,35,27,21,15,12,9,6,0
World_Geography,50,45,39,31,21,14,11,7,0
East_Asian_History,50,48,45,33,21,14,10,7,0
World_History,50,48,44,35,24,14,10,7,0
Economics,45,39,31,23,15,11,8,6,0
Politics_and_Law,50,47,43,35,23,13,10,6,0
Social_Culture,50,47,41,36,27,15,11,7,0
Physics_I,45,42,37,28,19,12,9,7,0
Chemistry_I,47,42,33,23,17,13,9,6,0
Biology_I,44,40,36,29,22,16,10,8,0
Earth_Science_I,45,40,34,27,18,13,10,7,0
Physics_II,45,33,19,15,12,9,7,5,0
Chemistry_II,47,39,26,16,12,10,7,5,0
Biology_II,43,32,21,15,10,8,7,4,0
Earth_Science_II,42,29,18,13,11,9,7,4,0
